Year,Month,Day,Period,1,2,3
2020,1,1,1,906.9262714666667,1107.3880596666668,1260.4907205
2020,1,1,2,905.0887473166667,1093.7313431666664,1224.6303868333332
2020,1,1,3,903.9538059166666,1080.1492536666667,1199.1546083333333
2020,1,1,4,909.3582887833333,1081.5671641666668,1172.0352311666666
2020,1,1,5,916.81647515,1076.4179103333333,1167.7768166666667
2020,1,1,6,925.6798270666667,1079.1791043333333,1150.6684491666667
2020,1,1,7,939.5153032166667,1070.4477613333333,1145.3641081666667
2020,1,1,8,966.4836727666665,1082.3880598333333,1141.6286568333333
2020,1,1,9,1017.3398566333335,1088.5820896666667,1144.542309
2020,1,1,10,1079.4373646666666,1105.4477611666666,1170.3169236666668
2020,1,1,11,1158.2887698333334,1133.3582086666668,1187.4252906666668
2020,1,1,12,1208.8206846666667,1174.402985,1257.278232
2020,1,1,13,1240.5449993333334,1222.4626865,1332.3608053333332
2020,1,1,14,1237.518489,1239.3283581666667,1388.5419943333334
2020,1,1,15,1220.2781886666667,1226.4179103333333,1430.9767221666668
2020,1,1,16,1181.1497325,1210.3731343333332,1473.7849955000002
2020,1,1,17,1147.7500284999999,1200.0746268333335,1534.2245990000001
2020,1,1,18,1119.5386278333333,1203.5074626666667,1580.3200691666668
2020,1,1,19,1098.1368756666666,1206.3432835,1620.2893993333334
2020,1,1,20,1080.3561268333333,1207.9104478333334,1638.5931110000001
2020,1,1,21,1068.0879506666668,1185.7462686666665,1674.5281535000001
2020,1,1,22,1053.2256228333335,1172.0895523333336,1683.8667819999998
2020,1,1,23,1043.1732849999999,1173.283582,1701.6475305000001
2020,1,1,24,1034.0937535,1170.373134,1700.6016043333332
2020,1,1,25,1023.0145635,1173.955224,1689.4699591666665
2020,1,1,26,1014.6916600000001,1171.4179105,1687.6022333333333
2020,1,1,27,1009.9897599999999,1162.3134328333333,1692.4583203333332
2020,1,1,28,1002.42348375,1157.0149253333332,1693.7283735000003
2020,1,1,29,1001.9370801666665,1154.9253733333333,1679.6830765000002
2020,1,1,30,998.8024802333334,1155.522388,1669.6720668333335
2020,1,1,31,995.0733872,1160.1492536666667,1654.8796790000004
2020,1,1,32,1012.800091,1159.2537313333335,1645.1675055000003
2020,1,1,33,1053.3877575,1159.0298506666668,1656.8221139999998
2020,1,1,34,1099.8122655,1223.9552236666666,1710.3884868333332
2020,1,1,35,1153.262601,1357.8358208333332,1868.1739541666668
2020,1,1,36,1201.578678,1454.9999998333333,1888.2706823333335
2020,1,1,37,1182.6089431666667,1444.5522388333336,1861.2260144999998
2020,1,1,38,1146.2367729999999,1406.7910446666667,1837.6926706666666
2020,1,1,39,1148.1283423333332,1410.5970146666666,1798.843976
2020,1,1,40,1142.50768,1397.761194,1775.5347596666668
2020,1,1,41,1126.5104108333335,1381.7910448333332,1722.7154766666665
2020,1,1,42,1089.5437478333333,1355.8955226666667,1689.4699591666667
2020,1,1,43,1048.8479916666668,1314.9253733333335,1616.2551116666666
2020,1,1,44,1007.1253840333334,1273.955224,1568.9642968333335
2020,1,1,45,962.9707589,1228.358209,1490.2956905
2020,1,1,46,933.8946410666667,1188.7313433333334,1423.3564015
2020,1,1,47,918.1135510333334,1151.3432836666666,1347.2279019999999
2020,1,1,48,904.9266128166668,1121.5671641666665,1285.8170808333332
2020,1,2,1,895.3606781333333,1102.3134328333333,1248.9108210000002
2020,1,2,2,890.71282285,1088.2089551666668,1209.1656181666667
2020,1,2,3,889.5778814166665,1082.6865671666667,1196.6892106666667
2020,1,2,4,891.9558539166668,1078.2835819999998,1165.5355456666666
2020,1,2,5,897.1982023,1072.6119401666667,1157.54168
2020,1,2,6,901.8460575833334,1073.2089551666666,1136.548443
2020,1,2,7,915.5734441,1071.7910448333334,1134.0083358333334
2020,1,2,8,945.1359653999999,1078.358209,1127.9569046666666
2020,1,2,9,983.5618386499999,1089.1044776666665,1126.6868511666664
